CAM-CNT,NFD-1-CPS,cam-cnt_abnormal
1.2031,10.5337,0
1.2035,10.5154,0
1.203,10.4506,0
1.2023,10.4874,0
1.2027,10.4859,0
1.2023,10.5465,0
1.2026,10.5239,0
1.2025,10.5766,0
1.202,10.7895,0
1.2026,10.6567,0
1.2031,10.6505,0
1.2035,10.7097,0
1.2028,10.5789,0
1.2028,10.5677,0
1.203,10.6046,0
1.2031,10.7652,0
1.2035,10.7149,0
1.2026,10.6783,0
1.2024,10.7051,0
1.2029,10.3899,0
1.2025,10.3839,0
1.2035,10.1367,0
1.203,10.2072,0
1.203,10.3314,0
1.2026,10.1984,0
1.2027,10.2818,0
1.2023,10.1929,0
1.2026,10.213,0
1.2025,10.203,0
1.2031,10.0538,0
1.2031,10.0893,0
1.2035,9.9982,0
1.2022,10.0477,0
1.2026,10.0706,0
1.2022,9.8377,0
1.203,9.7268,0
1.2031,9.6867,0
1.2028,9.7385,0
1.2036,9.7648,0
1.2032,9.6262,0
1.2031,9.8241,0
1.2027,9.9811,0
1.2024,9.9168,0
1.2025,9.7686,0
1.2026,9.7273,0
1.2032,9.6648,0
1.2031,9.5823,0
1.2031,9.3682,0
1.2028,9.5027,0
1.2032,9.413,0
1.2034,9.3061,0
1.2024,9.2485,0
1.2024,9.3313,0
1.2024,9.5179,0
1.203,9.3812,0
1.2034,9.3647,0
1.2032,9.3134,0
1.2033,9.4792,0
1.2031,9.5966,0
1.203,9.7337,0
1.2037,9.7159,0
1.2028,9.8173,0
1.2025,9.7388,0
1.203,9.7444,0
1.2025,9.8573,0
1.2031,9.7582,0
1.2031,9.8517,0
1.203,9.8841,0
1.2032,9.9824,0
1.2035,9.9389,0
1.2032,9.8888,0
1.2032,9.8607,0
1.2033,9.8224,0
1.203,9.8112,0
1.2033,9.8557,0
1.2033,9.6126,0
1.2032,9.726,0
1.2029,9.8137,0
1.2033,9.7541,0
1.2029,9.7808,0
1.2022,9.8539,0
1.2028,9.7915,0
1.2033,9.8928,0
1.2034,9.7573,0
1.2026,9.6787,0
1.2024,9.7404,0
1.2026,9.9047,0
1.2027,9.9524,0
1.2029,9.7372,0
1.2032,9.7564,0
1.2029,9.7147,0
1.2032,9.7026,0
1.2023,9.6056,0
1.203,9.5154,0
1.2033,9.5156,0
1.2033,9.5702,0
1.203,9.7303,0
1.2034,9.573,0
1.2041,9.5122,0
1.2029,9.4224,0
1.2023,9.4342,0
1.2028,9.587,0
1.2026,9.4401,0
1.2023,9.3244,0
1.2027,9.2481,0
1.2026,9.1236,0
1.2027,9.0914,0
1.2028,9.1497,0
1.2034,9.3035,0
1.203,9.3027,0
1.2032,9.3064,0
1.2036,9.2265,0
1.2022,9.1889,0
1.2028,9.171,0
1.2031,9.1282,0
1.2023,9.209,0
1.2026,9.2018,0
1.2025,9.3242,0
1.2023,9.6356,0
1.2032,9.8259,0
1.2031,9.6598,0
1.2031,9.5378,0
1.2036,9.549,0
1.2028,9.6504,0
1.2028,9.5322,0
1.2025,9.4338,0
1.2026,9.5182,0
1.2025,9.5879,0
1.2025,9.5773,0
1.2029,9.7739,0
1.203,9.7796,0
1.2036,9.7557,0
1.2032,9.7235,0
1.2024,9.7742,0
1.2026,9.6668,0
1.2027,9.5157,0
1.2026,9.5146,0
1.203,9.6029,0
1.2029,9.6278,0
1.2024,9.74,0
1.2034,9.947,0
1.2029,9.8401,0
1.2032,9.7058,0
1.2034,9.8938,0
1.2023,10.0291,0
1.2028,10.0666,0
1.2027,10.1468,0
1.2024,10.1759,0
1.2025,10.0452,0
1.2027,9.849,0
1.2026,9.8468,0
1.2029,9.9112,0
1.2028,9.9919,0
1.2029,9.8633,0
1.2031,9.9255,0
1.2033,9.9918,0
1.2033,10.0482,0
1.203,9.9354,0
1.2031,9.8406,0
1.2036,9.6819,0
1.2032,9.8291,0
1.203,9.887,0
1.2031,9.9494,0
1.2033,9.923,0
1.203,9.763,0
1.2038,9.7722,0
1.2036,9.8301,0
1.2036,9.8733,0
1.2027,9.842,0
1.2028,9.722,0
1.2032,9.6346,0
1.2032,9.6237,0
1.2033,9.762,0
1.2033,9.7583,0
1.2037,10.0511,0
1.2034,10.076,0
1.2036,10.0996,0
1.2035,10.1246,0
1.2034,10.1779,0
1.2035,10.1347,0
1.2033,10.2232,0
1.2033,10.1684,0
